FECHA;COMPRA;VENTA
1/1/1983;44,95;45,45
2/1/1983;44,95;45,45
3/1/1983;44,95;45,45
4/1/1983;44,95;45,45
5/1/1983;44,95;45,45
6/1/1983;44,95;45,45
7/1/1983;44,95;45,45
8/1/1983;44,95;45,45
9/1/1983;44,95;45,45
10/1/1983;44,95;45,45
11/1/1983;44,9;45,4
12/1/1983;44,9;45,4
13/1/1983;44,9;45,4
14/1/1983;44,9;45,4
15/1/1983;44,9;45,4
16/1/1983;44,9;45,4
17/1/1983;44,9;45,4
18/1/1983;44,85;45,35
19/1/1983;44,85;45,35
20/1/1983;44,85;45,35
21/1/1983;44,8;45,3
22/1/1983;44,8;45,3
23/1/1983;44,8;45,3
24/1/1983;44,8;45,3
25/1/1983;44,75;45,25
26/1/1983;44,75;45,25
27/1/1983;44,75;45,25
28/1/1983;44,75;45,25
29/1/1983;44,75;45,25
30/1/1983;44,75;45,25
31/1/1983;44,75;45,25
1/2/1983;44,7;45,2
2/2/1983;44,7;45,2
3/2/1983;44,7;45,2
4/2/1983;44,7;45,2
5/2/1983;44,7;45,2
6/2/1983;44,7;45,2
7/2/1983;44,7;45,2
8/2/1983;44,7;45,2
9/2/1983;44,7;45,2
10/2/1983;44,7;45,2
11/2/1983;44,7;45,2
12/2/1983;44,7;45,2
13/2/1983;44,7;45,2
14/2/1983;44,7;45,2
15/2/1983;44,65;45,15
16/2/1983;44,65;45,15
17/2/1983;44,6;45,1
18/2/1983;44,6;45,1
19/2/1983;44,6;45,1
20/2/1983;44,6;45,1
21/2/1983;44,6;45,1
22/2/1983;44,6;45,1
23/2/1983;44,6;45,1
24/2/1983;44,6;45,1
25/2/1983;44,6;45,1
26/2/1983;44,6;45,1
27/2/1983;44,6;45,1
28/2/1983;44,6;45,1
1/3/1983;44,6;45,1
2/3/1983;44,6;45,1
3/3/1983;44,6;45,1
4/3/1983;44,6;45,1
5/3/1983;44,5;45
6/3/1983;44,5;45
7/3/1983;44,5;45
8/3/1983;44,5;45
9/3/1983;44,5;45
10/3/1983;44,5;45
11/3/1983;44,5;45
12/3/1983;44,5;45
13/3/1983;44,5;45
14/3/1983;44,5;45
15/3/1983;44,5;45
16/3/1983;44,4;44,9
17/3/1983;44,4;44,9
18/3/1983;44,4;44,9
19/3/1983;44,35;44,85
20/3/1983;44,35;44,85
21/3/1983;44,35;44,85
22/3/1983;44,35;44,85
23/3/1983;44,35;44,85
24/3/1983;44,35;44,85
25/3/1983;44,35;44,85
26/3/1983;44,35;44,85
27/3/1983;44,35;44,85
28/3/1983;44,35;44,85
29/3/1983;44,25;44,75
30/3/1983;44,25;44,75
31/3/1983;44,25;44,75
1/4/1983;44,25;44,75
2/4/1983;44,25;44,75
3/4/1983;44,25;44,75
4/4/1983;44,25;44,75
5/4/1983;44,2;44,7
6/4/1983;44,2;44,7
7/4/1983;44,2;44,7
8/4/1983;44,2;44,7
9/4/1983;44,2;44,7
10/4/1983;44,2;44,7
11/4/1983;44,2;44,7
12/4/1983;44,2;44,7
13/4/1983;44,15;44,65
14/4/1983;44,15;44,65
15/4/1983;44,15;44,65
16/4/1983;44,15;44,65
17/4/1983;44,15;44,65
18/4/1983;44,15;44,65
19/4/1983;44,15;44,65
20/4/1983;44,15;44,65
21/4/1983;44,15;44,65
22/4/1983;44,15;44,65
23/4/1983;44,15;44,65
24/4/1983;44,15;44,65
25/4/1983;44,15;44,65
26/4/1983;44,15;44,65
27/4/1983;44,15;44,65
28/4/1983;44,15;44,65
29/4/1983;44,15;44,65
30/4/1983;44,15;44,65
1/5/1983;44,15;44,65
2/5/1983;44,15;44,65
3/5/1983;44,15;44,65
4/5/1983;44,1;44,6
5/5/1983;44,1;44,6
6/5/1983;44,1;44,6
7/5/1983;44,1;44,6
8/5/1983;44,1;44,6
9/5/1983;44,1;44,6
10/5/1983;44,1;44,6
11/5/1983;44,1;44,6
12/5/1983;44,1;44,6
13/5/1983;44,1;44,6
14/5/1983;44,1;44,6
15/5/1983;44,1;44,6
16/5/1983;44,1;44,6
17/5/1983;44,1;44,6
18/5/1983;44,1;44,6
19/5/1983;44,1;44,6
20/5/1983;44,1;44,6
21/5/1983;44,1;44,6
22/5/1983;44,1;44,6
23/5/1983;44,1;44,6
24/5/1983;44,1;44,6
25/5/1983;44,1;44,6
26/5/1983;44,1;44,6
27/5/1983;44,1;44,6
28/5/1983;44,1;44,6
29/5/1983;44,1;44,6
30/5/1983;44,1;44,6
31/5/1983;44,1;44,6
1/6/1983;44,1;44,6
2/6/1983;44,1;44,6
3/6/1983;44,1;44,6
4/6/1983;44,1;44,6
5/6/1983;44,1;44,6
6/6/1983;44,1;44,6
7/6/1983;44,1;44,6
8/6/1983;44,1;44,6
9/6/1983;44,1;44,6
10/6/1983;44,1;44,6
11/6/1983;44,1;44,6
12/6/1983;44,1;44,6
13/6/1983;44,1;44,6
14/6/1983;44,1;44,6
15/6/1983;44,1;44,6
16/6/1983;44,1;44,6
17/6/1983;44,1;44,6
18/6/1983;44,1;44,6
19/6/1983;44,1;44,6
20/6/1983;44,1;44,6
21/6/1983;44,1;44,6
22/6/1983;44,1;44,6
23/6/1983;44,1;44,6
24/6/1983;44,1;44,6
25/6/1983;44,1;44,6
26/6/1983;44,1;44,6
27/6/1983;44,1;44,6
28/6/1983;43,1;43,6
29/6/1983;43,1;43,6
30/6/1983;43,1;43,6
1/7/1983;43,1;43,6
2/7/1983;43,1;43,6
3/7/1983;43,1;43,6
4/7/1983;43,1;43,6
5/7/1983;43,1;43,6
6/7/1983;43,1;43,6
7/7/1983;43,1;43,6
8/7/1983;43,1;43,6
9/7/1983;43,1;43,6
10/7/1983;43,1;43,6
11/7/1983;43,1;43,6
12/7/1983;43,1;43,6
13/7/1983;43,1;43,6
14/7/1983;43,1;43,6
15/7/1983;43,1;43,6
16/7/1983;43,1;43,6
17/7/1983;43,1;43,6
18/7/1983;43,1;43,6
19/7/1983;43,1;43,6
20/7/1983;43,1;43,6
21/7/1983;43,1;43,6
22/7/1983;43,1;43,6
23/7/1983;43,1;43,6
24/7/1983;43,1;43,6
25/7/1983;43,1;43,6
26/7/1983;43,1;43,6
27/7/1983;43,1;43,6
28/7/1983;43,1;43,6
29/7/1983;43,1;43,6
30/7/1983;43,1;43,6
31/7/1983;43,1;43,6
1/8/1983;43,1;43,6
2/8/1983;43,1;43,6
3/8/1983;43,1;43,6
4/8/1983;43,1;43,6
5/8/1983;43,1;43,6
6/8/1983;43,1;43,6
7/8/1983;43,1;43,6
8/8/1983;43,1;43,6
9/8/1983;43,1;43,6
10/8/1983;43,1;43,6
11/8/1983;43,1;43,6
12/8/1983;43,1;43,6
13/8/1983;43,1;43,6
14/8/1983;43,1;43,6
15/8/1983;43,1;43,6
16/8/1983;43,1;43,6
17/8/1983;43,1;43,6
18/8/1983;43,1;43,6
19/8/1983;43,1;43,6
20/8/1983;43,1;43,6
21/8/1983;43,1;43,6
22/8/1983;43,1;43,6
23/8/1983;43,1;43,6
24/8/1983;43,1;43,6
25/8/1983;43,1;43,6
26/8/1983;43,1;43,6
27/8/1983;43,1;43,6
28/8/1983;43,1;43,6
29/8/1983;43,1;43,6
30/8/1983;43,1;43,6
31/8/1983;43,1;43,6
1/9/1983;43,1;43,6
2/9/1983;43,1;43,6
3/9/1983;43,1;43,6
4/9/1983;43,1;43,6
5/9/1983;43,1;43,6
6/9/1983;43,1;43,6
7/9/1983;43,1;43,6
